sample,batch,class,order
QC1,1,NA,1
A2,1,1,2
A3,1,1,3
A4,1,1,4
A5,1,1,5
A6,1,1,6
A7,1,1,7
A8,1,1,8
A9,1,2,9
QC2,1,NA,10
A11,1,1,11
A12,1,1,12
A13,1,1,13
A14,1,2,14
A15,1,1,15
A16,1,1,16
A17,1,1,17
A18,1,1,18
QC3,1,NA,19
A20,1,1,20
A21,1,1,21
A22,1,1,22
A23,1,1,23
A24,1,2,24
A25,1,1,25
A26,1,1,26
A27,1,1,27
QC4,1,NA,28
A29,1,1,29
A30,1,1,30
A31,1,1,31
A32,1,1,32
A33,1,1,33
A34,1,1,34
A35,1,1,35
A36,1,2,36
QC5,1,NA,37
A38,1,1,38
A39,1,1,39
A40,1,1,40
A41,1,1,41
A42,1,1,42
A43,1,1,43
A44,1,1,44
A45,1,2,45
QC6,1,NA,46
A47,1,1,47
A48,1,1,48
A49,1,1,49
A50,1,1,50
A51,1,1,51
A52,1,2,52
A53,1,1,53
A54,1,1,54
QC7,1,NA,55
A56,1,2,56
A57,1,1,57
A58,1,1,58
A59,1,1,59
A60,1,1,60
A61,1,1,61
A62,1,1,62
A63,1,1,63
QC8,1,NA,64
A65,1,1,65
A66,1,1,66
A67,1,1,67
A68,1,1,68
A69,1,2,69
A70,1,1,70
A71,1,1,71
A72,1,1,72
QC9,1,NA,73
A74,1,1,74
A75,1,1,75
A76,1,1,76
A77,1,1,77
A78,1,2,78
A79,1,1,79
A80,1,1,80
A81,1,1,81
QC10,1,NA,82
A83,1,1,83
A84,1,1,84
A85,1,1,85
A86,1,1,86
A87,1,1,87
A88,1,1,88
A89,1,2,89
A90,1,1,90
QC11,1,NA,91
A92,1,1,92
A93,1,1,93
A94,1,1,94
A95,1,2,95
A96,1,1,96
A97,1,1,97
A98,1,1,98
A99,1,1,99
QC12,1,NA,100
A101,1,1,101
A102,1,1,102
A103,1,1,103
A104,1,1,104
A105,1,1,105
A106,1,1,106
A107,1,2,107
A108,1,1,108
QC13,1,NA,109
A110,1,2,110
A113,1,1,113
A114,1,1,114
A115,1,1,115
A116,1,1,116
A117,1,1,117
QC14,1,NA,118
A119,1,1,119
A120,1,1,120
A121,1,1,121
A122,1,1,122
A123,1,1,123
A124,1,1,124
A126,1,1,126
QC15,1,NA,127
A128,1,1,128
A129,1,2,129
A130,1,1,130
A131,1,1,131
A132,1,1,132
A133,1,1,133
A134,1,1,134
A135,1,1,135
QC16,1,NA,136
A137,1,2,137
A138,1,1,138
A139,1,1,139
A140,1,1,140
A141,1,1,141
A142,1,1,142
A143,1,1,143
