sample,order,type,batch,1-methylhistamine,2-Arachidonyl glycerol,2'-deoxyadenosine,3-deaazadenosine,3-IPA,3HK,5-Aminolevulinic Acid,Acetylcarnitine,Adenosine,Alanine,Anandamide,Arachidonic acid,Arginine,Asparagine,Aspartate,Betaine,Butyrylcarnitine,cAMP,Carnitine,Choline,Colchicine,Creatine,Cysteamine,Cysteine,Cytosine,DMGV,GlucosePos2,Glutamate,Glutamine,Histidine,Î±-keto-Î²-methylvaleric acid.1,Î±-keto-Î²-methylvaleric acid.2,Isoleucine_Leucine,Kynurenic acid,L-Homoserine,Methionine,Phenylalanine,Phosphocholine,Proline,Riboflavin,Serine,Serotonin,Spermine,Taurine,Thiamine,Threonine,Thymidine,TMNO,trans-HYP,Tyrosine,Uridine,Valine,Valine-d8
Pool,1,QC,1,10459500,68554.052,2722.584,25148.85,70380.988,16412.283,35267.164,114483897.7,593471.9,2213871.3,47562.39,77550.63,11446740.5,551222.39,57935.11,93310061.3,32147.9,112997.3,99852430,641761.62,2350.844,2914680.9,44502.332,3510.0172,310437.05,135431.363,11688015,1324267.72,546527.803,15586037.03,33674.03,149760.2,50577364,766750.458,1726055.51,2060499.084,45613160.64,2888170.5,96858036.1,321371.304,131262.56,9688.487,4808087.87,2102348,703.091,1890461.63,8415.646,29646143.6,1743396.5,9844010.73,1100468.832,20636019.8,2445642
Pool,2,QC,1,13515769,84998.702,3762.159,24176.51,78685.643,15098.713,36662.073,118670629.5,736297,2439427,52084.66,85512.14,12959731.41,585241.49,59617.93,91916854.5,40653.77,105982.85,104624000,762768.44,1888.2044,2839745,56013.81,6042.1457,439303.72,134878.549,12042355,1343844.37,564533.914,16749741.61,27971.66,193286.1,53312731.3,1193572.316,1924341.47,2368182.254,49002789.72,2901948.4,104265228.4,416310.476,168846.83,10149.679,5479602.3,2562957.71,570.0816,2159268.43,8973.028,36692895.2,1841058.5,10929364.97,1132779.948,22613292.6,2611818
1,3,S,1,12534050,76889.913,3868.805,21101.97,99905.842,13843.273,38224.483,115644619.1,585776.5,2611747.4,54546.77,86864.57,15936544.65,687029.21,113512.19,99795371.9,43393.3,33336.62,110242600,674529.44,658.1054,2212047.5,43151.904,2712.9606,421246.71,100672.155,12093755,1452177.34,636659.528,18055609.63,32840.17,164327.5,50812017.8,635384.688,2935499.9,1665524.632,39608280.19,2763300,89253062.9,91164.656,357814.39,9329.484,4539358.5,2768089.16,941.7678,3226531.38,7414.268,17421479.2,1398635,8020785.95,1002370.644,22536740.7,2723755
3,4,S,1,14733401,94844.604,4473.748,17329.31,13176.713,12236.296,65932.628,103798687.8,561820.3,4410277.2,36906.36,69473.46,17332975.23,624894.45,58450.12,100736420.8,31288.81,43306.53,114051200,846897.13,568.371,5436305.3,56254.946,5150.8689,371262.97,253846.89,13019305,2027669.19,567639.288,18192815.57,27766.74,249412.3,66958741.3,697154.921,2311496.15,2478223.307,51536813.09,2710155.4,105457642.8,4903986.534,345769.6,10110.431,3925352.71,2112461.57,6396.5645,2635904.55,7275.539,30258907.9,3559443.6,11344304.97,968770.576,31599572.7,2842284
21,5,S,1,17864694,77029.216,3477.452,15645.99,57620.605,12884.46,19290.091,114000403.4,553224.5,3249563.1,55773.65,70090.19,17665485.37,750726.26,48633.09,120164299.9,37406.13,33938.01,113824500,795597.72,359.4947,1721517.5,79511.946,4139.2604,572045.77,178188.607,13683503,1304588.87,683723.276,17964854.47,32654.95,203435.6,44523235.4,1229635.09,2174153.08,1541359.989,45144083.48,2711731.6,100810491.9,208496.112,414237.47,12068.76,6450677.92,861717.82,1862.2116,2150091.53,8049.387,16366387.8,1001295.9,8832719.19,696245.558,20909515.7,3008690
22,6,S,1,16165074,76243.797,4401.214,16298.27,47211.779,14300.741,57386.148,118545878.3,612719.6,2367766.2,98727.65,74712.3,12506938.08,543747.55,159100.35,98525867.2,44008.41,33864.67,115416400,736129.76,808.3361,1424018.1,284234.91,7745.0538,342769.04,114286.663,12717127,2850494.99,516514.923,17247836.4,32422.94,213173.5,56379335.4,704177.126,1925749.43,1600546.798,44752634.4,2419413.3,80624997.4,278147.298,380161.38,10116.66,3829440.42,2124507.76,262.884,2320302.24,6406.252,26644695.7,877110.2,8539208.33,1612953.996,26174043.5,3017378
23,7,S,1,16409988,121076.784,2743.86,28630.53,18849.803,10718.438,56462.397,107555917.2,615601.8,3389611.7,32632.78,92796.93,11057831.76,741758.24,105183.14,107257676.9,39097.42,27256.5,115645500,1088310.2,690.4089,814637.1,80059.55,9562.466,292777,165930.618,11299907,2376987.94,629136.248,20355342.81,31988.15,215037.8,61693085.8,467135.164,2497502.63,2391730.77,44383523.8,2488078,97192545.2,120558.269,405735.94,8292.391,4510264.63,522747.02,1185.4035,2821329.63,6420.597,20137041.5,524735,10970031.17,997540.064,24277333,3056526
24,8,S,1,16282952,63582.878,2907.234,18214.33,39492.405,10237.639,70880.995,112343202.2,799513.9,3949793.9,18725.2,68955.34,10899881.96,670322.05,113465.92,102193088.6,41143.78,33938.03,121507100,989043.1,565.7537,1018353.2,31525.836,8908.7286,467961.03,298077.269,11213476,2324717.3,554069.429,14317942.21,33064.32,182599,59452326.8,407990.844,2443014.08,1737355.043,41791921.5,2454298.7,108213640.4,147988.518,394833.52,7982.258,4085903.21,788236.37,1639.6379,2461324.04,5228.047,25109754.7,648182.6,8884174.33,1301609.526,26881349.4,3000190
25,9,S,1,16096956,67095.164,3272.499,25473.87,31382.982,11006.998,22184.072,117514790.2,566427.2,3688594.6,27155.5,76000.84,11402128.91,591500.84,92658.56,94093006.3,30622.33,39188.26,125951900,650963.32,468.4428,1173653.9,42414.514,4691.3172,373668.52,116101.952,11781244,2499533.63,623178.571,18356581.68,30681.33,234473.4,65295947.3,1053661.836,2158101.87,2232861.206,51975939.2,2446875.5,89421019.2,568572.634,311938.74,5660.456,5410168.66,1597654.64,1378.6767,2504561.71,7276.541,77643284.5,732756.5,12425763.78,762646.282,25663623.2,3008810
26,10,S,1,16887151,103857.064,2472.628,21892.82,170964.459,13644.356,49056.573,120097974.2,630455.2,3150676.6,24485.57,86180.21,15876766.69,958406.52,77990.29,107394835.9,30069.18,25156.88,117150800,804134.95,486.87,4624803.3,102854.792,6762.7952,365052.78,47723.348,12829864,1435630.28,752844.055,21416011.6,30553.44,228908.4,50312751.5,386117.282,2423010.36,2166459.021,48098820.37,2274872.8,95886447.3,357038.464,457329.06,12121.231,6510784.77,3704139.58,1401.2699,2692796.3,5812.318,12918213.7,2834156.4,9191790.23,1374098.034,18924854.9,2898469
