"sample","class","ethanolamine..62.","Glycine..76.","Trimethylamine.N.oxide..TMAO...76.1.","X3C13.Glycine..79.","beta.alanine..89.99.","Alanine..90.","X4C13.Alanine..94.","Cadaverine..103.","X3.Aminoisobutyrate..103.98.","Choline..103.99.","Dimethylglycine..104.","L.2.aminobutyric.acid..104.01.","X2C13.Choline..106.","Serine..106.01.","X4C13.Serine..110.","Hypotaurine..110.01.","Creatinine..114.","X5.6.dihydrouracil..115.","Proline..116.","d3.Creatinine..117.","X5.Aminovaleric.Acid..117.98.","Betaine..117.99.","Valine..118.","Threonine..120.","Cysteine..122.","X6C13.Proline..122.","Niacinamide..123.","X6C13.Valine..124.","X5C13.Threonine..125.","Taurine..125.99.","Pyroglutamic.Acid..130.04.","Pipecolate..130.","Creatine..131.98.","Hydroxyproline..131.99.","Leucine..D.norleucine..132.01.","iso.Leucine..allo.isoleucine..132.02.","Ornithine..132.9.","Asparagine..133.","Aspartic.Acid..134.","S.methylcysteine..136.","X1.methylnicotinamide..137.","trigonelline..138.01.","X5C13.Aspartic.Acid..138.98.","X6C13.Asparagine..138.99.","X7C13.Leucine..139.","X7C13.iso.Leucine..139.01.","Glutamine..146.99.","Lysine..147.","Deoxycarnitine..147.01.","Glutamic.acid..148.","Methionine..149.99.","X2C13.Glutamic.acid..150.","X7C13.Glutamine..153.99.","X6C13.Glutamic.acid..154.","X8C13.Lysine..155.","X6C13.Methionine..155.99.","Histidine..156.","Carnitine..162.","X9C13.Histidine..165.","Phenylalanine..165.99.","methionine.sulfoxide..166.","Epinephrine..166.","X7.methylguanine..166.01.","X1.3.Methylhistidine..169.99.","Arginine..175.","X10C13.Phenylalanine..176.","Cotinine..176.99.","Cysteinyl.Glycine..Cys.Gly...179.","Gluconolactone..179.01.","Tyrosine..182.1.","X213C.Tyrosine..184.1.","X10C13.Arginine..185.1.","N6.Acetyl.lysine..188.99.","homoarginine..189.","N6.Trimethyllysine..189.01.","homocitrulline..190.","X1013C.Tyrosine..192.1.","Caffeine..195.","dimethylarginine..A.SDMA...203.","Acetylcarnitine..204.1.","Tryptophan..205.1.","L.Kynurenine..209.1.","X13C13.Tryptophan..218.1.","Cystine..241.1.","Uridine..245.2.","isovalerylcarnitine..246.","X8C13.Cystine..249.1.","X11C13.Uridine..256.2.","Glycerophosphocholine..258.","succinylcarnitine..262.","Thiamine..265.","Adenosine..268.2.","Inosine..269.2.","glutarylcarnitine..276.","X1.Methyladenosine..282.1.","X6.Methyladenosine..282.2.","X5..methylthioadenosine..298.","N2.N2.Dimethylguanosine..312.2.","UMP..325.","GMP..364.1.","riboflavin..377.","SAH..385.","S.adenosylmethionine..SAM...399.","thyroxine..777.5.","FAD..786."
"Pos_QC(I)#1","QC",995.607871887956,990.934483513995,997.552722629706,1001.70953452235,986.02515809809,999.768415242072,998.826231301615,1005.51515262651,1011.83157704344,997.241355749636,991.314742169237,1020.43567356075,999.948807533116,998.836067209249,999.862692405194,988.654773816278,999.969773173322,1000.67400388765,1003.56589528804,997.457717048433,985.394677732346,997.750826782939,985.029985038081,997.003115517446,1002.62198265004,998.102716093393,995.129982388203,995.004936549616,999.527729006999,990.863806310658,1000.73959391744,998.679630775824,1000.26778894304,1001.67409368971,995.340957176791,995.760001060885,997.946442282289,997.060674715601,999.318322093403,1012.0260644706,1006.55063144495,991.663870410573,999.876490719983,1000.44336850718,997.550603193171,1004.44058774689,998.862959477692,998.958099051633,1001.68628450226,995.895884645775,993.313568447896,1000.43709503028,996.742618039351,999.955761619497,1001.75711090731,989.811197838844,1002.20570946206,1002.28276014338,1004.23458025416,991.592841102302,998.663550505697,991.46891879814,1003.14973930817,992.277971317442,1000.30379735027,990.490708286431,996.222387270545,1007.60766804368,1004.40218613661,1006.55581929689,998.800813320025,1002.26909071073,1014.45927251096,1009.41686446661,1008.5587574645,1031.78186858292,1007.28874249477,999.238348540124,998.593156330149,1003.4976381802,995.848364573238,984.96749573787,999.181290701953,991.237327539425,988.34088465639,1000.56799840239,1000.46539564161,996.148907558661,997.935758462799,1040.55060927202,970.381509696525,1035.08103182915,1001.81213022432,994.436682379414,1007.08820694117,1001.46016280261,1000.23184583702,1001.34815406454,992.14749553968,984.919739450284,1000.18078937301,1005.79839217505,1051.7477112589,991.49095542901,979.746044839357
"Pos_01","3",921.433632537006,972.373779722115,966.914709028874,994.441120382477,958.091041120547,961.070663277859,996.778736575591,1008.14312663806,984.680860063839,937.094166836296,979.838423491932,953.874874443612,1005.57602011901,963.248465307337,987.185150510962,958.930751883531,954.016849275151,951.147880309691,958.410306907862,991.025494294419,941.692187200441,980.759336423094,1002.52604905562,986.658024387358,1010.17235642681,985.886739518173,799.03884733361,978.45105686281,989.016419210842,830.293469394408,954.951260139608,968.265934207422,1006.15766565852,969.017897398716,971.964980204206,975.83666117154,967.473092865985,1003.8086660271,935.433953602845,980.478971890037,956.163997331309,680.469675925232,1012.24252408535,994.111265048198,991.458660610356,992.00848538985,1010.71336315323,1009.78895430216,1011.46081938874,934.21760342266,1003.98102160382,1022.13254201166,980.497558486533,1006.26157991649,1004.84204365293,990.090633652395,1022.79092652477,972.832755964793,1027.53562207053,975.5498785882,887.363692662039,976.059768173403,878.255558246919,855.706527826432,982.804705482896,978.41902989267,1060.87718720112,1183.47278839083,920.19262735689,994.99209488571,992.837806888254,1022.71880728332,1006.2981981234,992.275234734203,1022.69429269137,937.402211938379,974.096320132987,648.274283970767,1045.50321851369,967.978608354205,962.783036833003,1019.7130945495,986.507900395177,1149.11575646945,904.430240659114,965.006596746475,1026.07585625492,992.759219550669,930.359443835532,1292.09112599536,1076.21959658259,1172.49992890791,1024.34644978375,936.893962758688,1037.57536469548,910.221074721317,955.084829110023,1023.54962971427,755.96528579457,832.538075120241,1006.55167763363,947.515158856602,1372.48635810335,949.199198185111,1028.36451974918
"Pos_02","1",960.863834823634,936.797141201145,988.128212254757,1004.63009670153,1061.7842335699,961.732714384311,999.82527060611,1017.16124399495,987.44390723266,951.39410599432,1003.09462600457,985.737704486009,1008.01046449409,901.491617132222,998.424687425303,953.558806217003,987.684904255008,893.482003654336,942.869827648055,992.73049445753,978.184256095896,989.223088561837,956.483614816542,921.651244643515,1067.0876486202,991.615437937487,983.617694685667,995.371753507449,996.432721597491,956.589117004338,939.876350904999,963.572629449881,1042.51534409196,980.863894338467,935.453864178563,925.729358269795,922.332800830763,916.648600748403,912.330746606017,940.936561179558,1151.21563360896,907.293932058319,1002.13983103263,1000.79086232937,995.91904291623,974.077235279224,997.431372099688,945.063559553324,998.775920469515,908.46228976226,904.221285704788,1023.01311179464,989.038478859664,1009.72317471555,1003.29811744744,982.533333705804,981.053231516211,980.523887927892,1028.42277010349,911.341565631312,822.757091340261,903.78998146125,1020.38960776384,1007.82430857359,899.034014277912,989.820679125987,1074.0607856851,1139.15331304044,960.643682601519,941.649185366089,996.41265284267,993.968234440507,1017.43634051307,929.462885952629,917.477539820915,993.874361797322,987.449205194242,850.837114628125,964.081299406923,1108.97425903322,918.798928464255,955.139229395885,995.28529495065,1061.62210640659,924.472306574093,940.149647268263,1007.33887283571,987.800528789657,911.802229542038,1125.13850083372,935.750836486941,1120.21569361668,1026.79067630339,1012.84962452077,1018.44332041127,961.653396840286,873.82834721444,993.548792131776,936.144856596169,885.332592399228,1074.35698841953,918.077237210601,1182.17705457813,888.389843593283,1009.80541672669
"Pos_03","3",890.851874345299,938.029430918172,857.612745922608,998.037484146806,1000.21820153754,958.388926166595,1001.41087253655,1026.74640412639,1050.97797270409,960.346577146678,966.413459286185,998.118934116945,1003.78104342209,944.886620598431,999.090083233224,938.447510789066,971.962747492601,914.316046965706,962.523845804214,992.791538833613,852.932407852588,973.325786162028,1030.92657475778,956.907550610415,1015.15664919179,996.310683765937,972.7234174332,1006.0611467627,997.347616583917,934.355012388188,944.537603295106,986.768819422906,1021.92631774374,938.174916331209,998.396012302288,973.649261706012,959.924811617594,983.742997642631,921.152906772566,978.365958662561,1013.49031941721,751.769139064496,991.640571991442,998.101463919973,992.871187153359,968.698343580526,1000.55104719781,982.441337444301,993.921407795413,949.305940977183,1000.70848082902,1028.43234542279,988.410655384983,1010.35700985233,998.734471552536,983.239250641392,981.926783669285,983.38849926468,1019.71600965072,987.258968457457,885.316527510558,986.46442805216,991.634027859756,808.44151862639,923.893460525666,988.182416497157,1026.31843984799,1186.17430302825,976.283120488939,986.510396885788,1000.31274744736,980.879385058722,1008.88397833837,909.533066994839,940.153300628195,943.199197355972,992.731012161615,627.045767662404,980.7021357095,971.771411753564,976.209195010873,1002.40799444513,993.038118093204,1077.92782436848,908.057236587611,1036.71154001021,976.291939925794,984.744553934661,898.648878149175,1104.21883047431,896.109196640337,1108.71809898023,927.602767241673,952.830727194053,1032.12404847887,893.305777798694,966.732647533009,1026.64682329664,932.480483779365,906.759635762191,1031.80629793186,952.559119418607,1263.84775300583,977.169579293327,960.839745449245
"Pos_04","3",927.156184684953,945.675894618,794.227021437643,1001.26242390609,986.620412817461,957.139097770432,998.504267180549,1003.7422270525,973.690409726298,926.12524642512,989.964118381024,955.324833245644,1008.02459094984,955.148099992016,998.565088925604,921.99359741936,966.487753082608,894.154385444985,944.976031683227,993.981759604052,934.604601148181,959.512019173018,961.538707074622,987.792459694065,984.874012444021,992.821754905182,985.404268155183,996.745905957141,994.414901349158,924.142806669129,911.230490896193,957.151046696225,988.131720655188,944.390745307098,915.185150869205,896.096371652294,921.170276212794,965.96167900456,934.887827721906,961.333226142715,962.036589528648,797.683601570692,993.322425088808,994.499095954648,994.554246348867,973.236183399276,997.681404651633,961.818283346487,960.357239794,907.339361003106,971.264814837127,1018.75751477745,986.882628605843,1002.32459086463,994.082360876611,991.640681466542,969.819322392245,972.094828995693,1014.03451263977,954.621668254603,828.442979946686,953.302690230663,1000.03549447351,933.711095575483,910.249588409249,988.346383362689,1005.98924862268,1111.4266618852,942.647476337907,962.950650536195,990.820363102006,983.089924915152,965.985843692961,884.677093810067,895.864961121554,914.584399009203,986.212158451438,819.109219067894,971.140195673793,972.128210503725,956.755076162834,984.412354525365,990.804900346299,1078.53180890671,864.45754810054,920.269354593369,991.172441917648,996.074950852452,865.603069367984,1079.86357694826,1126.64951054298,1079.89659635858,869.336385795301,938.441766161022,1026.72743855647,939.874219303561,906.906024910464,983.964715003662,954.93190715468,877.334474641464,902.37767775214,928.7714976883,1235.75214957844,982.09051212639,945.562981770856
"Pos_05","3",893.141426668496,944.354299114063,1062.5794235715,995.931943253156,1006.35656430663,940.955310359438,996.896600110344,1001.84971410366,941.779088893416,940.535636336244,955.319351467563,954.687333922883,1006.72498470959,931.821438226263,997.897638845536,952.90343033384,976.010898852978,891.858685526373,927.454435989282,994.025138674231,934.126756145386,974.85315669496,966.105296677414,959.028611726745,877.71756783013,992.2037597867,965.990855731174,992.335313773049,995.775105490366,943.658831414219,937.066845432191,978.399719752328,949.609743844178,913.722432730671,939.519516720377,915.015985378784,928.282129822917,962.315826858056,931.831662873153,935.67172425716,979.439651455582,669.093949149007,995.393035457836,999.540931827301,993.686096506953,985.008438165163,982.143733407788,964.890255956043,992.632467763123,940.172459204797,952.188536534927,1019.41088279645,986.645645316776,1002.35108245443,1001.01401999639,986.759372159241,971.235138908489,973.897450319696,1016.85711187523,967.610996682533,865.739918441229,964.865942534414,1005.01626505303,828.664378864545,901.892322264481,989.028278740716,1062.7972685446,1228.30754208646,963.381426319616,942.752054559976,994.22329606091,987.64899926887,1016.854444724,891.878051210299,949.589651855634,969.423348414165,990.628623569164,657.848956107403,981.339934958779,973.335077622417,928.07375999755,1016.32865556863,994.657310618899,1087.52423901375,909.440237418872,988.723320568565,993.755633758469,997.67747047511,911.133123494656,1124.83794940814,1014.76979626854,1110.88660931046,911.979524699365,930.2348046094,1039.71917086021,963.427532371814,986.479955489559,1040.00072372656,897.02007387106,902.030376213508,1028.14377975254,868.387738889064,1271.83819737549,981.540769409108,1054.58268979532
"Pos_06","2",895.387892582642,994.953093137424,971.027819367713,989.344225728201,964.203203324327,980.025077550981,1002.19894170589,1002.05449702251,1008.34410645109,921.581645359361,900.8289293737,955.085759807698,1010.98711786242,946.269032870275,999.231679978441,950.652083679879,972.576801237291,895.745703142886,957.093919481967,995.819266118512,913.55893932665,966.617209145683,958.878821917688,953.762728319006,1003.32884347315,994.762071613553,997.437996139986,998.109240601203,994.47914844043,916.111696158257,909.400596509094,931.198462668524,1018.38793783711,1024.75421617053,925.482642916421,919.709924037418,923.732353414793,972.102279694603,895.637008146304,972.590202113562,909.250153214,798.600388371991,992.702923228277,1000.71947211451,997.712534519563,980.94337118187,1005.56195558352,947.19857663606,993.539126712925,934.033628650845,979.279325226555,1020.59999586087,987.627199027474,1005.87399487524,999.841570122055,991.911183479595,974.300862225815,978.312153376837,1014.1643192574,966.140731719805,916.277545860592,964.732487963661,1000.29123665283,855.324947303181,884.873308259968,993.347495067777,718.810447006712,1195.06159056208,966.013509653322,965.001205100243,995.704061168008,983.122956314248,975.154409224907,890.187135389841,918.931033305005,968.654564284246,987.587756136553,819.117483473939,983.67632235934,963.084779111203,917.732431242632,979.231995891545,995.197411892738,1083.98278163723,837.360106009245,934.790295751503,1001.29862080177,991.898156954079,860.700029983548,1097.61754469905,1066.25781279173,1102.25867115434,975.393756689972,954.827739110767,1015.86314732863,947.375993189033,983.022883396098,1006.65728686644,863.969884019153,829.642689341157,1023.74090107209,947.943761418496,1223.04945012918,925.621724861866,953.174451226524
"Pos_07","2",826.953217572591,939.581311485435,906.977959500018,989.157937358464,961.357254902822,942.839602644982,994.591368423632,1027.31488537958,954.984944698834,897.409206633007,912.498534037165,967.105128549622,1006.0838803467,917.469068164971,994.742547600725,956.765095701435,993.147419230507,863.21026402396,915.797346160299,992.359689868668,977.283940091937,949.461432910211,933.081792385345,922.897995895106,1023.21432883291,993.156437350873,942.803701768189,990.557759320456,992.503236443732,935.403599234298,913.608684391672,979.795252051074,980.089537545801,930.036951435039,922.153051998232,916.648696268893,905.608481868578,954.878569616662,915.190594980114,920.54552573298,837.441125515488,705.232157608965,994.262826715417,993.00702809929,992.508764436473,980.178233957436,984.341690080862,953.331364379897,991.184965974385,886.236050379615,949.101736053755,1013.72735510722,982.469468504104,998.6475887209,996.103531518505,984.498361297965,973.451575221211,978.288497866897,1014.4116319192,961.317205831763,884.92182430635,958.762581611652,1026.60887032347,834.667286846882,880.37628858264,988.78305952149,1040.41282196646,1241.83976691,941.333980299406,924.897100773883,987.527863354737,985.193144803879,1004.81510829043,907.829655859518,972.034297630599,1006.6122222676,977.014315476101,656.864752431943,986.08635350036,979.92902411471,847.518265803684,937.15217762276,993.95204868042,1045.42759836368,858.830461084564,958.49223558678,978.836645829156,988.520728065079,853.512756665053,1055.96522938564,1020.64104574932,1084.28429551739,903.454321110691,948.531584980641,1025.07060419387,879.358023794106,973.137841177792,1021.76053261442,965.605556948333,856.199881007774,927.770218343777,922.560328727674,1279.13771528663,922.673594957953,1001.47065958105
"Pos_08","4",964.209584044257,1009.49059819337,956.109591889392,994.679213407801,1013.63530268175,976.522927309913,1001.96946232457,1023.132977715,1055.24350227435,982.142089784666,977.903428365728,1058.86134785493,1001.68349349724,982.170913043649,994.89815784633,1063.28554214544,959.411032383349,943.58997582626,965.912703777015,995.154017599049,990.261383380059,993.088874667105,1033.84800643645,1014.91133987955,1005.27320074523,992.670564493422,1048.01610464015,996.211140957868,995.36623416424,1000.855737256,945.936309145531,1006.44447456366,1052.14419011013,980.418702102558,1001.33027501265,986.095220850552,964.432280550018,1032.38179225931,957.647560866686,996.531198445823,1088.05317586631,837.491624637941,994.549489481914,1001.91870859223,988.975409188487,981.936178613341,1021.89088936516,1027.46290105112,1024.56432902759,971.227876613892,1034.37403695313,1017.96976588573,984.800000262103,997.65981683295,994.37372951175,986.695108227735,994.213915862811,978.203565149968,1012.08299150027,997.615681302821,873.036234130199,999.351910880599,984.953111784916,795.944679708687,974.858794526491,988.767646017892,1033.77565852556,1237.02269092437,985.243576198171,999.31806801679,992.599274257512,978.562292210675,1001.38759590625,950.511020562896,959.703678414205,963.142065394646,978.529094884436,594.675762045334,1011.49745059268,991.494762890036,985.480447298895,1033.14266397928,993.054238864171,1114.74737687408,918.763620268088,978.795023043979,978.932979695791,992.962510652967,971.934318994874,1075.91075419328,969.634704363858,1119.97804137057,1002.34320348275,969.750961622218,1042.61347300392,879.97907190327,918.410518133703,1032.83904893698,991.00199448219,950.08554157153,963.467071527702,915.715001925356,1183.84978447808,983.103980543856,1045.68349909586
"Pos_09","4",903.800829163505,928.006933497789,981.618233745786,981.578637036085,973.683215965957,953.694342695706,997.744858158175,1003.77447125966,972.68846280599,978.529389709402,994.917435476507,960.239342368682,1003.51640145079,931.830806648817,992.146141853019,957.418586333687,965.911201163205,930.937342293957,960.346884406868,991.749607796188,922.29079745499,980.395165920659,1015.24452181945,985.329891600137,964.238329419291,986.484328631141,976.269855243549,1001.80135385141,990.30225788034,951.595809084517,932.555616778395,1043.53093700701,1022.04855142266,941.552929377934,973.005809347588,978.123993504968,955.945866544818,986.755494017358,918.442903489456,974.766500679316,953.078349114542,652.323704274526,981.252915422974,993.936022459001,990.721477451275,965.465485870692,1003.08691888713,992.993606466824,973.83965600446,975.660803501476,998.303258127069,1020.34777150649,981.903616228224,998.912186921371,991.907754678843,984.539716680176,967.413613008583,984.54599723716,1007.00763954966,982.458584324841,884.641033059943,980.976017735227,899.093255532101,809.312127642107,929.130280626585,986.32264409468,1051.94086486985,1252.8620443361,742.649024822426,981.968863772094,990.904799549184,979.332652935474,996.127633722485,889.751182480175,953.41441846682,865.263810441089,984.367029550963,691.86980144963,982.870952060073,985.138831408005,953.169200526347,1007.94931727245,988.128330017057,1073.11561750997,903.773746796808,999.548181884855,969.850786974883,991.762342100797,907.873242981876,1114.91795347737,1028.7453343414,1122.02804431231,920.00903840691,972.775117669315,1054.43873407493,989.201116116499,1032.10922820753,1043.89169855866,898.531771400037,913.118176705435,1034.19753390606,931.284712452821,1270.09781276092,994.550984805995,1048.66816714066
