Sample,Order,Batch,Group,ethanolamine..62.,Glycine..76.,Trimethylamine.N.oxide..TMAO...76.1.,X3C13.Glycine..79.,beta.alanine..89.99.,Alanine..90.,X4C13.Alanine..94.,Cadaverine..103.,X3.Aminoisobutyrate..103.98.,Choline..103.99.,Dimethylglycine..104.,L.2.aminobutyric.acid..104.01.,X2C13.Choline..106.,Serine..106.01.,X4C13.Serine..110.,Hypotaurine..110.01.,Creatinine..114.,X5.6.dihydrouracil..115.,Proline..116.,d3.Creatinine..117.,X5.Aminovaleric.Acid..117.98.,Betaine..117.99.,Valine..118.,Threonine..120.,Cysteine..122.,X6C13.Proline..122.,Niacinamide..123.,X6C13.Valine..124.,X5C13.Threonine..125.,Taurine..125.99.,Pyroglutamic.Acid..130.04.,Pipecolate..130.,Creatine..131.98.,Hydroxyproline..131.99.,Leucine..D.norleucine..132.01.,iso.Leucine..allo.isoleucine..132.02.,Ornithine..132.9.,Asparagine..133.,Aspartic.Acid..134.,S.methylcysteine..136.,X1.methylnicotinamide..137.,trigonelline..138.01.,X5C13.Aspartic.Acid..138.98.,X6C13.Asparagine..138.99.,X7C13.Leucine..139.,X7C13.iso.Leucine..139.01.,Glutamine..146.99.,Lysine..147.,Deoxycarnitine..147.01.,Glutamic.acid..148.,Methionine..149.99.,X2C13.Glutamic.acid..150.,X7C13.Glutamine..153.99.,X6C13.Glutamic.acid..154.,X8C13.Lysine..155.,X6C13.Methionine..155.99.,Histidine..156.,Carnitine..162.,X9C13.Histidine..165.,Phenylalanine..165.99.,methionine.sulfoxide..166.,Epinephrine..166.,X7.methylguanine..166.01.,X1.3.Methylhistidine..169.99.,Arginine..175.,X10C13.Phenylalanine..176.,Cotinine..176.99.,Cysteinyl.Glycine..Cys.Gly...179.,Gluconolactone..179.01.,Tyrosine..182.1.,X213C.Tyrosine..184.1.,X10C13.Arginine..185.1.,N6.Acetyl.lysine..188.99.,homoarginine..189.,N6.Trimethyllysine..189.01.,homocitrulline..190.,X1013C.Tyrosine..192.1.,Caffeine..195.,dimethylarginine..A.SDMA...203.,Acetylcarnitine..204.1.,Tryptophan..205.1.,L.Kynurenine..209.1.,X13C13.Tryptophan..218.1.,Cystine..241.1.,Uridine..245.2.,isovalerylcarnitine..246.,X8C13.Cystine..249.1.,X11C13.Uridine..256.2.,Glycerophosphocholine..258.,succinylcarnitine..262.,Thiamine..265.,Adenosine..268.2.,Inosine..269.2.,glutarylcarnitine..276.,X1.Methyladenosine..282.1.,X6.Methyladenosine..282.2.,X5..methylthioadenosine..298.,N2.N2.Dimethylguanosine..312.2.,UMP..325.,GMP..364.1.,riboflavin..377.,SAH..385.,S.adenosylmethionine..SAM...399.,thyroxine..777.5.,FAD..786.
Pos_QC(I)#1,1,1,qc,14.96731386,17.10147005,18.22621473,16.50327051,14.87384401,21.48270117,20.32171986,15.60662663,14.04262266,24.47623148,16.65115075,14.02610333,25.31404704,22.28542767,20.92921519,15.08542359,22.88479976,19.10921284,21.61816503,23.58357777,15.77155705,24.95255988,21.56962941,21.37492152,13.12812719,20.74952464,14.86951706,19.50064194,20.07720073,19.51431992,18.39516952,17.40297603,22.4747929,19.53011105,22.02919104,20.55853105,21.6932217,19.18917051,19.43496102,16.01696917,19.31982861,19.65542469,20.71087874,20.18321534,22.08400341,19.26862873,24.05077277,23.5695118,17.07085614,23.2230823,17.60201122,22.19084421,21.80415948,22.19592039,23.31284288,17.67106057,23.90539219,24.41483913,20.79424691,23.36607797,17.76587651,21.64945027,15.57812705,21.4741846,25.76201627,21.49245906,18.43392305,11.62633897,13.88964103,19.29188782,21.10565389,25.50269314,15.82589789,20.19921977,22.99864791,15.5622128,16.6361777,22.17207044,21.21486198,23.09142581,21.50790575,15.40530421,20.17618313,16.99173327,16.77383041,18.11963555,17.88895365,16.36659846,23.0490964,14.80525875,15.68956925,12.70719385,13.62415774,16.47439019,18.96017081,13.61530675,12.74451179,15.07713021,14.88301336,16.32935353,14.55716872,14.50216084,13.4599569,16.26189402,14.25128262
Pos_01,3,1,3,13.90759817,16.67054634,17.93724764,16.41028785,14.23532192,20.68793831,20.32851667,15.6858966,13.72995605,22.96438815,16.31943809,13.31787486,25.47028321,21.5237904,20.71966179,14.69939126,21.96470181,18.19902583,20.79713017,23.47031138,14.90023402,24.58817895,21.66911913,21.12814999,13.19511823,20.52675623,11.91993886,19.13759186,19.92555764,16.38292851,17.65968465,16.97884604,22.62692452,18.98831378,21.55083433,20.17791757,21.06232975,19.31569662,18.3171347,15.65399347,18.30182271,13.51485371,20.98324407,20.11942893,22.00629067,19.13276956,24.24241755,23.81279301,17.16894584,21.80437161,17.72232038,22.62179509,21.4431035,22.37658589,23.44599974,17.72357861,24.51870263,23.79409713,21.25588409,22.95794392,15.80077765,21.32606497,13.77589446,18.48652684,25.46909352,21.17717616,19.65257287,14.13612986,12.75091994,19.20652332,20.98456376,26.06547257,15.7308016,20.28342272,23.74020207,14.72961651,16.16005076,14.37757121,22.22399684,22.41035018,20.85270859,15.89873824,19.99343827,19.42095165,15.47537534,17.54245154,18.34123217,16.45769706,21.45111891,19.06910226,17.56881776,14.85616131,14.07456258,15.79206317,19.58266067,12.47234558,12.29257471,15.44874472,11.38935344,13.94496265,14.76282863,13.86146905,17.85402355,15.64906726,14.94401222
Pos_02,4,1,1,14.3890639,16.1756311,18.37914534,16.57719934,15.75534253,20.77076171,20.33444191,15.75700197,13.81123376,23.37501557,16.62852153,13.67746538,25.49933225,20.20903896,20.94154316,14.64423005,22.71349022,17.14421659,20.67245082,23.49331962,15.59023115,24.77113585,20.84810636,19.87434392,13.97789783,20.62884505,14.71904569,19.46330408,20.0359909,18.81269436,17.56200258,17.03443717,23.51259826,19.28593228,20.85369415,19.22213931,20.16812076,17.76556891,17.88241305,15.28364298,22.07849303,18.20271356,20.79628321,20.21308676,22.07397396,18.9029913,24.0416794,22.38206834,17.01383379,21.22541607,16.18220483,22.64112366,21.65174738,22.41628778,23.38642267,17.55305483,23.45200849,23.97203184,21.34198548,21.5948633,14.81850962,19.87544884,16.03545513,21.839275,23.37099914,21.46055376,19.88813165,13.35189698,13.3179893,18.36182339,21.12340452,25.47265658,16.26606154,19.272194,21.5558013,15.51065181,16.40122346,18.92444761,20.57948682,25.6956475,20.01022393,15.08693764,20.18677955,18.09652012,15.80911635,17.15672806,18.03275399,16.27864679,21.08412308,16.43590041,15.33268278,13.07896946,14.36362808,17.0406348,19.4465324,13.20885467,11.27103727,15.18580166,14.16513797,15.06496885,15.84380593,13.20295805,15.59526926,14.63004488,14.76565809
Pos_03,5,1,3,13.41543725,16.12624618,15.94482197,16.48683321,14.80076635,20.6194384,20.36497953,16.01121126,14.77343777,23.55930288,16.06094847,13.95382701,25.39776031,21.1144349,20.98531884,14.34662962,22.36498679,17.56191958,20.87561985,23.50261761,13.58515956,24.35170153,22.29108554,20.49785427,13.29301638,20.70661915,14.47888676,19.65168302,20.07384594,18.41193297,17.46090382,17.35886971,22.98349483,18.38064443,22.09954681,20.12471435,20.90526471,18.93001803,18.02256283,15.72221337,19.40908413,15.01138659,20.58812194,20.17340154,22.01970019,18.81074818,24.01961183,23.20421016,16.90106328,22.13272914,17.69631471,22.77672714,21.61356672,22.44913249,23.30546623,17.56147614,23.59073709,24.0199197,21.25376943,23.23498618,15.84791381,21.50729819,15.61234532,17.40058214,23.90160065,21.36781232,19.0076718,14.16652189,13.48324743,19.06616652,21.0925924,25.18360814,15.83996919,18.97231172,21.8132845,14.87001863,16.47675263,13.90492823,20.92301801,22.51520477,21.11547119,15.6604576,20.13897534,18.26372418,15.48896617,18.89109305,17.49439576,16.24128609,20.73293117,16.27117767,14.57480801,14.01929755,12.91648183,15.98990323,19.62165758,12.20984238,12.4234934,15.53934725,13.97717119,14.97865156,15.02484431,13.61871165,16.77503582,15.97201767,13.87807016
Pos_04,6,1,3,13.95787578,16.28479037,14.7582131,16.5506228,14.66725471,20.61021074,20.34368698,15.77735547,13.82363347,22.76271295,16.46269068,13.39860562,25.52417916,21.36574352,20.95564014,14.19216075,22.27064827,17.14262527,20.59235337,23.5363989,14.85210145,24.05789408,20.89892848,21.2300239,12.88925536,20.6516632,14.78051675,19.45629641,20.03980023,18.23678066,16.99089521,17.02525424,22.28223403,18.58250762,20.33086506,18.58949987,20.09408705,18.62407828,18.33386222,15.51330637,18.42091101,15.96067462,20.66795647,20.09176467,22.05484164,18.90972201,23.96335553,22.78106606,16.37972351,21.22493264,17.26528917,22.57619427,21.61315917,22.28332171,23.22285286,17.71779096,23.2869869,23.78425964,21.1644457,22.55712592,14.84277636,20.93921566,15.75636114,20.20031651,23.69645534,21.45142617,18.63609572,13.06370683,13.07671241,18.74735461,20.98532024,25.31059494,15.23732808,18.56101016,21.06399583,14.58787092,16.34278379,18.20231146,20.7973662,22.50635843,20.79238465,15.50392934,20.09384218,18.37281727,14.73821471,16.81049612,17.7678953,16.35447015,19.99423408,15.98141307,18.55552635,13.10970801,12.30404901,15.95353799,19.54500298,12.95539228,11.7510911,15.09289575,14.43677276,14.92929869,13.28533911,13.38538109,16.27474442,16.13430526,13.77724816
Pos_05,7,1,3,13.46168647,16.26705584,19.70203845,16.43908428,14.88206325,20.27537935,20.31464783,15.72730648,13.22544327,23.09118472,15.85173913,13.43560333,25.48758647,20.87100096,20.94165084,14.65845849,22.46062061,17.10488267,20.22699679,23.52876614,14.87715136,24.43996847,20.9448493,20.6380283,11.49428748,20.64951029,14.4372855,19.36751659,20.05960425,18.60420109,17.30563232,17.21757381,21.39523278,17.91135506,20.84757619,18.97530166,20.22931305,18.56818229,18.25629671,15.15574123,18.77512134,13.30078397,20.70740433,20.18530343,22.02900904,19.09922031,23.62377229,22.80072491,16.96204312,21.9251555,16.94700257,22.58510898,21.59963838,22.26141356,23.37629699,17.63292908,23.32040427,23.813498,21.23829748,22.80503337,15.48757507,21.10978055,15.8338603,17.89754187,23.45521576,21.40737534,19.69539888,14.46620471,13.28581454,18.34949276,21.08903026,25.38631414,16.08653129,18.56135665,22.22871006,15.24413453,16.40937027,14.6083355,20.93321812,22.55102929,20.14254764,15.91600662,20.13610983,18.51697307,15.55837194,18.04851342,17.77894515,16.39882514,21.07072844,16.50392189,16.44702232,13.97706798,12.65873554,15.6125133,19.73807596,13.2265898,12.66142249,15.80876483,13.49863638,15.20241835,15.05102097,12.47803944,16.53698583,16.14177233,15.25483309
Pos_06,8,1,2,13.5494122,17.14203773,17.98371467,16.33866763,14.47815298,21.1125379,20.39890787,15.65163024,14.17681683,22.63558238,15.02731247,13.49556022,25.56918952,21.16082304,20.97354011,14.65184229,22.39873562,17.15394827,20.87893986,23.55284358,14.56710899,24.20364186,20.79758214,20.49221259,13.13100652,20.70102257,14.95707138,19.47602077,20.00236947,18.08191579,16.82823286,16.48057609,22.95410198,20.13756785,20.56748455,19.07566431,20.19186092,18.74219465,17.60938809,15.76310334,17.39702815,15.91626783,20.66423459,20.18517999,22.0984104,19.02263641,24.17061735,22.45121998,16.97765643,21.84990594,17.42021089,22.62253165,21.62316126,22.32597223,23.3260525,17.69798456,23.4196444,23.90934209,21.13034493,22.82093331,16.38325092,21.17685377,15.76139439,18.51143142,23.0050304,21.52915711,13.30523464,14.11391146,13.26447804,18.77996238,21.05845093,25.25936504,15.42572762,18.63170554,21.48594189,15.2951062,16.37575533,18.20385657,21.03199799,22.25472711,19.9244538,15.4010519,20.15295967,18.46360289,14.32281349,17.05611301,17.96538974,16.30132793,19.87597473,16.03978847,17.27410194,13.67970054,13.6442885,16.0488453,19.32409213,13.03244384,12.66575897,15.27649758,13.05573007,14.15325819,14.97703611,13.65718792,16.19692222,15.30465475,13.95053246
Pos_07,9,1,2,12.42818575,16.2079192,16.75071861,16.37338522,14.37264276,20.37835126,20.30291302,16.24391547,13.49681577,22.06641314,15.21315222,13.65382494,25.48934571,20.57675324,20.88259003,14.70303784,22.86764647,16.54666994,20.0186492,23.49741933,15.56446899,23.80478151,20.26618318,19.89515586,13.39695563,20.67387884,14.13292445,19.40282357,20.01963963,18.43290651,16.96114143,17.31886162,22.11029119,18.26702003,20.52661894,19.06595458,19.81467514,18.46836202,18.01131191,14.99106223,16.03901185,14.07523843,20.70082615,20.11641674,22.0160847,19.0149088,23.76025801,22.5867909,16.93175277,20.71265221,16.93523854,22.47135755,21.52037396,22.21207574,23.28704384,17.60650567,23.43049965,23.92037392,21.1766748,22.74619709,15.9518194,21.07846279,16.19032527,18.06119254,22.9070567,21.45221554,19.27786423,14.54650445,12.93232557,18.02096248,20.97809065,25.32608609,16.03337616,18.78858523,22.88002087,15.83622074,16.23799652,14.59700186,21.03704561,22.65502649,18.44810567,14.74911467,20.14399479,17.89294226,14.69877825,17.49021504,17.5446132,16.26537662,19.74451375,15.37945217,16.8526291,13.14316984,12.61080215,15.88540591,19.42317752,12.13018962,12.53649187,15.5774121,14.60164441,14.49139171,13.62769587,13.45488565,16.82951032,15.24911913,14.66954617
Pos_08,10,1,4,14.55641518,17.28481217,17.67555918,16.43555255,15.0316209,20.99196196,20.36908684,16.06344516,14.68618135,24.05075951,16.24538049,14.64490074,25.3636291,21.93301472,20.8616104,16.02261263,22.05024673,18.08348548,20.91427886,23.55022715,15.59987831,24.84723634,22.30843337,21.71953825,13.1679813,20.66021304,15.57822782,19.46542997,20.01822035,19.55859415,17.34887756,17.64072307,23.63582206,19.15789261,22.12467509,20.34637273,20.98142395,19.85025328,18.67452265,15.91002779,20.87527494,16.50488247,20.64852067,20.25732091,21.9081663,19.00057224,24.52310084,24.21761429,17.39248884,22.6110303,18.19674156,22.54477939,21.53985501,22.17103267,23.21601969,17.62806607,23.8601508,23.87587264,21.05105735,23.44053157,15.51393775,21.74802437,15.37670529,17.09229756,25.23160578,21.31095413,19.10846522,14.81041099,13.73616404,19.2880557,20.93281411,25.00143804,15.6527182,19.59696239,22.23438919,15.12579918,16.20424802,13.15444005,21.61377386,22.94238393,21.28208076,16.07491236,20.11473616,18.77629949,15.52404905,17.76972449,17.54362517,16.41091443,22.42310928,15.81970479,15.48269195,14.6895349,13.87601333,16.22683729,19.79006648,11.9888076,11.83800255,15.55761475,14.77582182,15.53988002,14.010519,13.25164407,15.25098547,16.03482132,14.97156667
Pos_09,11,1,4,13.58151356,15.90732201,18.11791546,16.26302129,14.40071118,20.52963041,20.3470783,15.75191995,13.81630451,23.97925187,16.57733224,13.42795089,25.42563386,20.81485114,20.82798812,14.58799303,22.22199859,17.86442011,20.83281127,23.4756785,14.57876127,24.57800562,21.94404237,21.11714757,12.61600888,20.5118463,14.56188917,19.64357345,19.96779599,18.7420685,17.14658974,18.34772019,22.98559858,18.43331535,21.52032016,20.18825716,20.83843496,18.98392868,17.92426241,15.56294414,18.28024197,12.88222508,20.46461819,20.13836337,21.97418768,18.70684397,24.06210775,23.43534926,16.56507458,22.72965389,17.64310291,22.63613918,21.49040285,22.22403238,23.19280354,17.61353774,23.25821373,24.0609319,21.02879079,23.08699263,15.82282387,21.38468365,14.14401135,17.47586531,24.04441141,21.30785123,19.48780725,14.92032462,10.30772553,18.96515969,20.93530872,25.12506209,15.54924206,18.54406081,22.18631922,13.74794877,16.3854469,15.3437772,20.96600115,22.82472461,20.59576656,15.65154727,20.00780612,18.1783283,15.38238474,18.20191473,17.36483079,16.3847658,20.95671291,16.41708774,16.53966139,14.6470907,12.87164634,16.42067285,19.98121889,13.54913127,13.25158387,15.74017105,13.44157096,15.10250852,15.08007414,13.38837094,16.63663261,16.21941421,15.15935823
